# RefDiff matcher discarded candidates for 20260618T111613Z-gpt-5.4



## run 001 commit 42ac32fa830f2ad7b307f06d1373679627710e27
Discarded EXTRACT with score 0.039	 {disjoint_set_union_find.java:233:359:257:358 MethodDeclaration find(int)} {UnionFind.java:1343:1578:1378:1577 MethodDeclaration validateIndex(int)}
Discarded match by conflict	 {UnionFind.java:1267:1336:1300:1335 MethodDeclaration size()} {ArrayDisjointSet.java:1281:1350:1314:1349 MethodDeclaration size()}
Discarded match by conflict	 {UnionFind.java:1185:1261:1224:1260 MethodDeclaration components()} {ArrayDisjointSet.java:1199:1275:1238:1274 MethodDeclaration components()}

## run 007 commit c9fa793c343f05578d05d86d4adebe6194b38685
Discarded match by conflict	 {UnionFindTest.java:2830:3456:2932:3455 MethodDeclaration assertThrows(ThrowingRunnable, Class)} {disjointset/UnionFindTest.java:2852:3478:2954:3477 MethodDeclaration assertThrows(ThrowingRunnable, Class)}
Discarded match by conflict	 {ArrayDisjointSet.java:1888:2284:1952:2283 MethodDeclaration mergeDistinctRoots(int, int)} {disjointset/ArrayDisjointSet.java:1910:2306:1974:2305 MethodDeclaration mergeDistinctRoots(int, int)}
Discarded match by conflict	 {UnionFindTest.java:1244:1939:1299:1938 MethodDeclaration verifiesComponentSizesAndCounts()} {disjointset/UnionFindTest.java:1266:1961:1321:1960 MethodDeclaration verifiesComponentSizesAndCounts()}
Discarded match by conflict	 {ArrayDisjointSet.java:1529:1882:1564:1881 MethodDeclaration findRoot(int)} {disjointset/ArrayDisjointSet.java:1551:1904:1586:1903 MethodDeclaration findRoot(int)}
Discarded match by conflict	 {UnionFindTest.java:654:1238:706:1237 MethodDeclaration verifiesUnionAndConnectivity()} {disjointset/UnionFindTest.java:676:1260:728:1259 MethodDeclaration verifiesUnionAndConnectivity()}
Discarded match by conflict	 {UnionFindTest.java:1945:2312:1992:2311 MethodDeclaration verifiesIndexValidation()} {disjointset/UnionFindTest.java:1967:2334:2014:2333 MethodDeclaration verifiesIndexValidation()}
Discarded match by conflict	 {ArrayDisjointSet.java:1356:1523:1396:1522 MethodDeclaration initializeSingletonSets()} {disjointset/ArrayDisjointSet.java:1378:1545:1418:1544 MethodDeclaration initializeSingletonSets()}
Discarded match by conflict	 {UnionFindTest.java:2601:2824:2677:2823 MethodDeclaration assertEquals(int, int, String)} {disjointset/UnionFindTest.java:2623:2846:2699:2845 MethodDeclaration assertEquals(int, int, String)}
Discarded match by conflict	 {UnionFindTest.java:280:648:326:647 MethodDeclaration verifiesEmptyStructure()} {disjointset/UnionFindTest.java:302:670:348:669 MethodDeclaration verifiesEmptyStructure()}
Discarded match by conflict	 {ArrayDisjointSet.java:2290:2455:2346:2454 MethodDeclaration attachRoot(int, int)} {disjointset/ArrayDisjointSet.java:2312:2477:2368:2476 MethodDeclaration attachRoot(int, int)}
Discarded match by conflict	 {ArrayDisjointSet.java:2622:2812:2663:2811 MethodDeclaration validateIndex(int)} {disjointset/ArrayDisjointSet.java:2644:2834:2685:2833 MethodDeclaration validateIndex(int)}
Discarded match by conflict	 {ArrayDisjointSet.java:2818:2955:2866:2954 MethodDeclaration outOfBoundsMessage(int)} {disjointset/ArrayDisjointSet.java:2840:2977:2888:2976 MethodDeclaration outOfBoundsMessage(int)}
Discarded match by conflict	 {ArrayDisjointSet.java:2461:2616:2505:2615 MethodDeclaration validateSize(int)} {disjointset/ArrayDisjointSet.java:2483:2638:2527:2637 MethodDeclaration validateSize(int)}
Discarded match by conflict	 {UnionFindTest.java:2318:2474:2385:2473 MethodDeclaration assertTrue(boolean, String)} {disjointset/UnionFindTest.java:2340:2496:2407:2495 MethodDeclaration assertTrue(boolean, String)}
Discarded match by conflict	 {UnionFindTest.java:2480:2595:2548:2594 MethodDeclaration assertFalse(boolean, String)} {disjointset/UnionFindTest.java:2502:2617:2570:2616 MethodDeclaration assertFalse(boolean, String)}
Discarded match by conflict	 {DisjointSet.java:245:276:276:276 MethodDeclaration componentSize(int)} {disjointset/DisjointSet.java:267:298:298:298 MethodDeclaration componentSize(int)}
Discarded match by conflict	 {DisjointSet.java:198:239:239:239 MethodDeclaration connected(int, int)} {disjointset/DisjointSet.java:220:261:261:261 MethodDeclaration connected(int, int)}
Discarded match by conflict	 {DisjointSet.java:155:192:192:192 MethodDeclaration union(int, int)} {disjointset/DisjointSet.java:177:214:214:214 MethodDeclaration union(int, int)}
Discarded match by conflict	 {DisjointSet.java:127:149:149:149 MethodDeclaration find(int)} {disjointset/DisjointSet.java:149:171:171:171 MethodDeclaration find(int)}
Discarded match by conflict	 {DisjointSet.java:282:299:299:299 MethodDeclaration components()} {disjointset/DisjointSet.java:304:321:321:321 MethodDeclaration components()}
Discarded match by conflict	 {DisjointSet.java:305:316:316:316 MethodDeclaration size()} {disjointset/DisjointSet.java:327:338:338:338 MethodDeclaration size()}

## run 008 commit 10fcad39f566e7d682f839c37ccd6905dec2b7c8
Discarded match with score 0.112	 {disjointset/UnionFindDemo.java:98:527:138:526 MethodDeclaration main(String[])} {disjointset/DisjointSetTest.java:102:300:142:299 MethodDeclaration main(String[])}
Discarded match with score 0.120	 {disjointset/UnionFindTest.java:22:3573:22:3573 ClassDeclaration UnionFindTest} {disjointset/DisjointSetDemo.java:22:534:22:534 ClassDeclaration DisjointSetDemo}
Discarded match with score 0.026	 {disjointset/UnionFindTest.java:22:3573:22:3573 ClassDeclaration UnionFindTest} {disjointset/DisjointSets.java:22:191:22:191 ClassDeclaration DisjointSets}
Discarded match with score 0.112	 {disjointset/UnionFindTest.java:98:296:138:295 MethodDeclaration main(String[])} {disjointset/DisjointSetDemo.java:102:532:142:531 MethodDeclaration main(String[])}
Discarded match with score 0.123	 {disjointset/UnionFindDemo.java:22:529:22:529 ClassDeclaration UnionFindDemo} {disjointset/DisjointSetTest.java:22:3581:22:3581 ClassDeclaration DisjointSetTest}
Discarded match with score 0.084	 {disjointset/UnionFindDemo.java:22:529:22:529 ClassDeclaration UnionFindDemo} {disjointset/DisjointSets.java:22:191:22:191 ClassDeclaration DisjointSets}
Discarded match by conflict	 {disjointset/UnionFindTest.java:98:296:138:295 MethodDeclaration main(String[])} {disjointset/DisjointSetTest.java:102:300:142:299 MethodDeclaration main(String[])}
Discarded match by conflict	 {disjointset/UnionFindTest.java:3484:3571:3484:3571 InterfaceDeclaration ThrowingRunnable} {disjointset/DisjointSetTest.java:3492:3579:3492:3579 InterfaceDeclaration ThrowingRunnable}
Discarded match by conflict	 {disjointset/UnionFindTest.java:3554:3565:3565:3565 MethodDeclaration run()} {disjointset/DisjointSetTest.java:3562:3573:3573:3573 MethodDeclaration run()}

## run 009 commit 927a7242e24a4e3ea7df065044cf86c7cf781d9f
Discarded EXTRACT with score 0.000	 {disjointset/ArrayDisjointSet.java:671:986:730:985 MethodDeclaration union(int, int)} {disjointset/ArrayDisjointSet.java:2109:2306:2164:2305 MethodDeclaration largerRoot(int, int)}
Discarded EXTRACT with score 0.000	 {disjointset/ArrayDisjointSet.java:671:986:730:985 MethodDeclaration union(int, int)} {disjointset/ArrayDisjointSet.java:2312:2509:2368:2508 MethodDeclaration smallerRoot(int, int)}

## run 010 commit 853a372b1fbd658a741f33f683bf5c8b5ffc821b
Discarded match by conflict	 {disjointset/DisjointSetTest.java:2860:3486:2962:3485 MethodDeclaration assertThrows(ThrowingRunnable, Class)} {disjointset/test/DisjointSetTest.java:2931:3557:3033:3556 MethodDeclaration assertThrows(ThrowingRunnable, Class)}
Discarded match by conflict	 {disjointset/DisjointSetTest.java:1272:1968:1327:1967 MethodDeclaration verifiesComponentSizesAndCounts()} {disjointset/test/DisjointSetTest.java:1343:2039:1398:2038 MethodDeclaration verifiesComponentSizesAndCounts()}
Discarded match by conflict	 {disjointset/DisjointSetTest.java:681:1266:733:1265 MethodDeclaration verifiesUnionAndConnectivity()} {disjointset/test/DisjointSetTest.java:752:1337:804:1336 MethodDeclaration verifiesUnionAndConnectivity()}
Discarded match by conflict	 {disjointset/DisjointSetTest.java:1974:2342:2021:2341 MethodDeclaration verifiesIndexValidation()} {disjointset/test/DisjointSetTest.java:2045:2413:2092:2412 MethodDeclaration verifiesIndexValidation()}
Discarded match by conflict	 {disjointset/DisjointSetTest.java:306:675:352:674 MethodDeclaration verifiesEmptyStructure()} {disjointset/test/DisjointSetTest.java:377:746:423:745 MethodDeclaration verifiesEmptyStructure()}
Discarded match by conflict	 {disjointset/DisjointSetTest.java:2631:2854:2707:2853 MethodDeclaration assertEquals(int, int, String)} {disjointset/test/DisjointSetTest.java:2702:2925:2778:2924 MethodDeclaration assertEquals(int, int, String)}
Discarded match by conflict	 {disjointset/DisjointSetTest.java:2348:2504:2415:2503 MethodDeclaration assertTrue(boolean, String)} {disjointset/test/DisjointSetTest.java:2419:2575:2486:2574 MethodDeclaration assertTrue(boolean, String)}
Discarded match by conflict	 {disjointset/DisjointSetTest.java:2510:2625:2578:2624 MethodDeclaration assertFalse(boolean, String)} {disjointset/test/DisjointSetTest.java:2581:2696:2649:2695 MethodDeclaration assertFalse(boolean, String)}
